                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7832,                 3.9709,                 1.1781,                 0.0168,                0.32378,                0.06821,                0.03924,                 1.3536,                 3.5727,                0.97364,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5772,                 2.2763,                 1.0132,                0.76861,                0.16808,                0.12087,                0.07463,                 1.2862,                 2.1839,                0.94637,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3587,                 1.8059,                 0.9723,                0.65369,                0.18076,                0.13642,                0.08869,                 1.1308,                 1.8521,                0.94574,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.2825,                 1.7028,                0.96385,                0.65496,                0.21928,                0.15547,                0.10848,                 1.0892,                 1.5583,                0.94535,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2834,                  1.665,                0.97744,                0.67509,                0.20639,                0.17343,                0.11927,                 1.0171,                 1.5324,                0.94633,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1889,                 1.5009,                0.94963,                 0.6753,                0.33209,                0.19111,                0.12906,                 1.0546,                 1.3582,                0.94189,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1725,                 1.4746,                0.95113,                0.71591,                0.26355,                0.22527,                0.15465,                0.98161,                 1.4219,                0.92559,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1738,                 1.4057,                0.95549,                0.84998,                0.27013,                0.25654,                0.18438,                0.98227,                  1.238,                0.92226,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1256,                 1.3734,                0.94004,                0.74526,                0.27589,                0.28236,                0.20244,                0.95162,                 1.2437,                0.91486,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.1162,                 1.2867,                0.93517,                0.80827,                0.28982,                0.31138,                0.21368,                0.93665,                 1.2737,                0.91316,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0622,                 1.2373,                0.93239,                0.86854,                0.27448,                0.30433,                0.21302,                0.92289,                  1.205,                0.90619,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0624,                 1.2525,                0.93297,                0.80317,                0.22917,                0.24141,                0.16973,                 0.9612,                 1.2197,                0.92542,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0627,                 1.2471,                0.92577,                 0.8266,                0.32008,                0.31641,                0.22079,                0.90271,                  1.154,                0.90711,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0291,                 1.1951,                0.92409,                0.85118,                0.29912,                0.33321,                0.23751,                0.89977,                  1.137,                0.89297,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0402,                 1.1532,                0.92583,                0.83342,                0.32139,                0.34587,                0.24351,                0.92179,                  1.084,                 0.9047,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0615,                 1.1316,                0.92998,                0.80209,                0.32494,                0.36143,                0.24623,                0.90074,                 1.0566,                0.89856,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0288,                 1.1154,                0.92231,                0.87535,                0.30493,                0.37291,                0.25107,                0.89402,                 0.9672,                0.89997,             0.00056135,             0.00056135,             0.00056135
                     18,                 1.0205,                 1.0834,                0.91557,                0.87736,                0.29935,                0.37236,                 0.2633,                0.91616,                0.96559,                0.90039,             0.00055474,             0.00055474,             0.00055474
                     19,                  1.032,                 1.0359,                0.90788,                0.73869,                0.34873,                0.40702,                0.27248,                0.86454,                0.94898,                0.89296,             0.00054814,             0.00054814,             0.00054814
                     20,                0.98274,                 1.0128,                0.90822,                0.70544,                0.36886,                0.41541,                0.28899,                0.86351,                0.95492,                0.89554,             0.00054154,             0.00054154,             0.00054154
                     21,                 1.0225,                 1.0422,                0.91403,                0.57988,                 0.4484,                0.44013,                 0.3175,                 0.8717,                0.92476,                0.89484,             0.00053493,             0.00053493,             0.00053493
                     22,                0.98849,                0.97978,                0.90484,                0.65921,                0.45703,                0.45631,                0.32101,                0.86753,                0.89159,                0.89501,             0.00052833,             0.00052833,             0.00052833
                     23,                0.97258,                0.96991,                0.90405,                0.66545,                0.44813,                0.46526,                0.34186,                0.86016,                0.89852,                0.89256,             0.00052173,             0.00052173,             0.00052173
                     24,                0.98186,                0.94168,                0.90015,                0.65588,                0.44647,                0.44875,                0.32419,                0.84889,                0.92033,                0.89476,             0.00051512,             0.00051512,             0.00051512
                     25,                0.96399,                0.91034,                0.89581,                0.68619,                0.45875,                0.47684,                0.35002,                0.87346,                0.86006,                0.89719,             0.00050852,             0.00050852,             0.00050852
                     26,                  0.988,                0.93524,                0.90063,                0.78062,                0.33392,                0.45892,                0.33218,                0.86955,                0.87808,                 0.8951,             0.00050192,             0.00050192,             0.00050192
                     27,                0.95389,                0.90485,                 0.8999,                 0.6605,                0.45502,                0.45529,                 0.3279,                0.87836,                0.91585,                0.89933,             0.00049531,             0.00049531,             0.00049531
                     28,                0.95459,                0.91359,                0.89474,                0.64681,                0.45452,                0.45356,                0.32767,                0.85905,                0.86299,                 0.8945,             0.00048871,             0.00048871,             0.00048871
                     29,                0.94055,                0.91755,                0.89922,                0.48915,                0.45062,                0.45192,                0.32634,                0.90542,                0.92759,                0.90564,             0.00048211,             0.00048211,             0.00048211
                     30,                0.95207,                0.90951,                0.89286,                0.43435,                0.51027,                 0.4835,                0.34849,                0.86374,                0.85154,                0.88998,              0.0004755,              0.0004755,              0.0004755
                     31,                0.95387,                0.88605,                0.89504,                0.51275,                 0.4255,                0.48872,                0.35985,                0.82217,                0.81367,                 0.8923,              0.0004689,              0.0004689,              0.0004689
                     32,                0.94508,                0.87541,                0.89343,                0.60015,                0.51614,                0.50394,                 0.3648,                0.84006,                0.83501,                0.89569,              0.0004623,              0.0004623,              0.0004623
                     33,                0.92525,                0.83614,                0.89081,                0.47593,                0.55012,                0.50085,                 0.3615,                0.85708,                0.84425,                0.89676,             0.00045569,             0.00045569,             0.00045569
                     34,                0.95009,                0.86076,                0.89391,                0.49047,                0.51851,                0.48304,                0.35639,                0.84941,                0.82049,                0.89506,             0.00044909,             0.00044909,             0.00044909
                     35,                0.95107,                0.87267,                0.89262,                0.63377,                0.57944,                0.51556,                 0.3749,                0.83331,                0.87439,                0.89246,             0.00044249,             0.00044249,             0.00044249
                     36,                0.93804,                0.84112,                 0.8942,                0.60479,                0.55282,                0.53065,                0.38135,                0.84539,                0.84795,                 0.8908,             0.00043588,             0.00043588,             0.00043588
                     37,                0.91323,                0.80958,                0.88835,                 0.6197,                0.57721,                0.53921,                0.38894,                0.86192,                0.81561,                0.89556,             0.00042928,             0.00042928,             0.00042928
                     38,                0.89662,                0.80388,                 0.8871,                0.57576,                0.54882,                0.55063,                0.37957,                0.87778,                0.83671,                0.89308,             0.00042268,             0.00042268,             0.00042268
                     39,                0.89917,                0.80097,                0.88683,                0.65076,                0.57234,                0.53909,                0.37877,                 0.8871,                0.89454,                0.89983,             0.00041607,             0.00041607,             0.00041607
                     40,                0.91086,                0.80551,                0.88823,                0.71883,                0.48546,                0.54482,                0.39334,                0.85891,                0.81684,                0.89971,             0.00040947,             0.00040947,             0.00040947
                     41,                0.91529,                0.80468,                0.88096,                0.55482,                0.60307,                0.55421,                0.39961,                0.85655,                0.82221,                0.89614,             0.00040287,             0.00040287,             0.00040287
                     42,                0.91851,                0.79644,                0.88531,                0.73336,                0.45872,                0.57557,                0.41744,                 0.8752,                 0.8243,                0.90534,             0.00039626,             0.00039626,             0.00039626
                     43,                0.89778,                0.78535,                 0.8852,                 0.5377,                0.61059,                 0.5628,                0.40648,                0.84764,                0.82635,                0.90082,             0.00038966,             0.00038966,             0.00038966
                     44,                0.90315,                0.79433,                0.88304,                0.58523,                0.57279,                 0.5682,                0.40253,                0.86288,                0.83385,                0.90002,             0.00038306,             0.00038306,             0.00038306
                     45,                 0.9011,                0.77851,                0.89018,                0.53734,                0.59189,                0.58454,                0.40942,                0.86591,                0.85619,                0.89992,             0.00037645,             0.00037645,             0.00037645
                     46,                0.89373,                0.78798,                0.87775,                0.73136,                0.52806,                0.59423,                0.41136,                0.84064,                0.82144,                0.89513,             0.00036985,             0.00036985,             0.00036985
                     47,                0.91134,                0.76787,                0.88397,                0.64594,                0.58983,                0.61368,                0.41974,                0.84107,                0.84529,                0.89242,             0.00036325,             0.00036325,             0.00036325
                     48,                0.90661,                0.76624,                0.87714,                0.52539,                0.57172,                0.55149,                 0.3996,                0.83736,                0.80112,                0.89255,             0.00035664,             0.00035664,             0.00035664
                     49,                0.88756,                0.75144,                0.87884,                0.56414,                0.58881,                0.56134,                0.39975,                0.84364,                0.78595,                0.89201,             0.00035004,             0.00035004,             0.00035004
                     50,                0.87626,                0.73537,                0.87858,                0.68683,                0.59059,                0.56975,                0.41673,                0.82984,                0.78685,                0.89422,             0.00034344,             0.00034344,             0.00034344
                     51,                0.86043,                0.72314,                0.88224,                0.75058,                0.57672,                0.58685,                0.42572,                0.83121,                 0.7929,                0.89503,             0.00033683,             0.00033683,             0.00033683
                     52,                0.87758,                0.72734,                0.87041,                0.76331,                 0.5286,                0.56952,                0.41537,                0.81802,                0.79888,                0.88872,             0.00033023,             0.00033023,             0.00033023
                     53,                0.87116,                0.72097,                0.87213,                 0.6352,                0.55659,                0.57203,                0.41105,                  0.863,                0.81389,                0.90153,             0.00032363,             0.00032363,             0.00032363
                     54,                 0.8582,                0.72528,                 0.8794,                0.59756,                0.59162,                0.55685,                0.39015,                0.85082,                0.82334,                0.89468,             0.00031703,             0.00031703,             0.00031703
                     55,                0.85564,                0.71562,                0.86971,                0.59436,                0.56269,                0.56886,                0.39277,                0.85012,                0.81007,                0.89296,             0.00031042,             0.00031042,             0.00031042
                     56,                0.85081,                0.68995,                0.86407,                  0.576,                0.54283,                0.52951,                0.38604,                 0.8442,                0.81902,                0.90107,             0.00030382,             0.00030382,             0.00030382
                     57,                0.85985,                0.70206,                0.87546,                0.57353,                0.60599,                0.55299,                 0.3903,                0.83082,                0.79342,                0.89019,             0.00029722,             0.00029722,             0.00029722
                     58,                0.85679,                0.69658,                0.87277,                0.76601,                0.52694,                0.56814,                0.40772,                 0.8429,                0.82173,                0.89433,             0.00029061,             0.00029061,             0.00029061
                     59,                0.85667,                0.68245,                0.86461,                0.72654,                 0.5022,                 0.5534,                0.39218,                0.83225,                0.80505,                0.89217,             0.00028401,             0.00028401,             0.00028401
                     60,                0.85139,                0.69411,                0.87151,                 0.7104,                0.53007,                0.56668,                0.41272,                0.83007,                0.83791,                0.89458,             0.00027741,             0.00027741,             0.00027741
                     61,                0.82175,                0.67761,                0.86965,                0.71287,                0.53322,                0.56822,                0.40409,                0.85487,                0.79808,                0.89694,              0.0002708,              0.0002708,              0.0002708
                     62,                 0.8371,                0.67759,                0.87095,                0.79634,                0.51452,                0.57592,                0.41214,                0.84086,                0.79873,                0.89238,              0.0002642,              0.0002642,              0.0002642
                     63,                0.84469,                0.66845,                0.87332,                 0.6978,                0.52464,                0.57368,                0.42808,                0.81998,                0.79863,                0.89419,              0.0002576,              0.0002576,              0.0002576
                     64,                0.83055,                0.66799,                0.86719,                0.73433,                0.53497,                0.56072,                0.41069,                0.82042,                0.78266,                0.89178,             0.00025099,             0.00025099,             0.00025099
                     65,                0.85183,                0.66835,                0.86855,                0.70202,                0.52997,                0.56129,                0.40027,                0.82985,                0.78629,                0.88942,             0.00024439,             0.00024439,             0.00024439
                     66,                0.84199,                0.66307,                0.86743,                 0.6257,                0.52724,                0.55496,                  0.397,                0.86074,                0.80047,                0.89222,             0.00023779,             0.00023779,             0.00023779
                     67,                0.83214,                 0.6641,                0.86788,                0.81662,                0.52371,                0.58363,                0.41689,                0.83179,                0.78462,                0.89364,             0.00023118,             0.00023118,             0.00023118
                     68,                0.80859,                0.66857,                0.86925,                0.78115,                0.53951,                0.59241,                 0.4299,                0.82697,                0.79007,                0.88991,             0.00022458,             0.00022458,             0.00022458
                     69,                0.81554,                0.64083,                0.86386,                0.72117,                0.55115,                0.59851,                0.43049,                0.82472,                0.78463,                0.89494,             0.00021798,             0.00021798,             0.00021798
                     70,                0.81917,                0.63784,                 0.8649,                0.76434,                0.51495,                0.57157,                0.41724,                 0.8198,                 0.8074,                0.89326,             0.00021137,             0.00021137,             0.00021137
                     71,                0.82377,                0.64362,                0.86947,                0.60775,                0.58143,                0.57815,                0.42313,                 0.8291,                0.80521,                 0.8934,             0.00020477,             0.00020477,             0.00020477
                     72,                0.81555,                0.63644,                0.86419,                0.61215,                 0.5743,                0.57839,                0.42206,                0.82377,                 0.8026,                0.89353,             0.00019817,             0.00019817,             0.00019817
                     73,                0.82763,                 0.6525,                0.87067,                0.65095,                0.56816,                 0.5895,                0.43155,                0.82762,                0.77767,                0.89294,             0.00019156,             0.00019156,             0.00019156
                     74,                0.81114,                0.64418,                0.86113,                0.79229,                0.56547,                 0.6295,                0.44913,                0.82809,                0.80188,                0.89353,             0.00018496,             0.00018496,             0.00018496
                     75,                0.79114,                0.63236,                0.86191,                 0.6819,                0.61701,                0.61216,                0.44367,                0.84485,                 0.7918,                0.89614,             0.00017836,             0.00017836,             0.00017836
                     76,                0.79484,                0.62569,                0.86232,                0.82851,                0.53909,                0.62598,                0.45047,                0.82763,                0.76797,                0.89434,             0.00017175,             0.00017175,             0.00017175
                     77,                0.80586,                0.62671,                0.85926,                0.71455,                0.60345,                0.61755,                0.43895,                0.81935,                0.77819,                0.89394,             0.00016515,             0.00016515,             0.00016515
                     78,                0.79411,                0.62921,                0.85697,                0.65549,                0.60276,                0.60723,                0.42977,                0.83829,                0.78913,                0.89736,             0.00015855,             0.00015855,             0.00015855
                     79,                0.79863,                0.60717,                 0.8574,                0.62519,                0.59553,                0.61358,                0.43038,                0.82778,                0.81346,                0.89503,             0.00015194,             0.00015194,             0.00015194
                     80,                0.78286,                0.59782,                0.85326,                0.60981,                0.56421,                0.60212,                 0.4236,                0.83167,                0.81166,                 0.8969,             0.00014534,             0.00014534,             0.00014534
                     81,                0.78752,                0.60355,                0.85758,                0.59676,                0.59963,                0.60021,                0.42805,                0.82485,                0.80072,                0.89584,             0.00013874,             0.00013874,             0.00013874
                     82,                0.77482,                0.59042,                0.85815,                0.60526,                0.61121,                0.60949,                0.43463,                0.83367,                0.80027,                0.89497,             0.00013213,             0.00013213,             0.00013213
                     83,                0.79861,                 0.6026,                  0.863,                0.63891,                0.60147,                0.61612,                0.44254,                0.81261,                0.78329,                0.89111,             0.00012553,             0.00012553,             0.00012553
                     84,                0.77973,                0.60254,                0.85746,                0.71486,                0.55504,                0.59901,                0.43233,                0.81447,                0.79213,                0.89345,             0.00011893,             0.00011893,             0.00011893
                     85,                0.76681,                0.58565,                0.85691,                0.71305,                0.58094,                 0.6123,                0.43372,                0.84422,                0.80708,                0.89907,             0.00011232,             0.00011232,             0.00011232
                     86,                0.78983,                0.58843,                0.85447,                0.70576,                0.59559,                 0.6092,                0.44026,                0.81879,                0.78874,                0.89651,             0.00010572,             0.00010572,             0.00010572
                     87,                 0.7858,                0.58951,                0.85462,                0.62925,                0.59765,                0.60292,                0.42972,                0.81386,                0.78519,                0.89412,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.77051,                0.58304,                0.85574,                 0.6295,                0.58981,                0.60281,                 0.4311,                 0.8196,                0.79343,                0.89441,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.76683,                0.56139,                0.85516,                0.71952,                0.58223,                0.60777,                 0.4388,                0.80947,                0.77889,                0.89315,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                 0.7696,                 0.5902,                0.85423,                0.73027,                0.60455,                0.61993,                0.44379,                0.83376,                0.78166,                0.89547,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.79194,                0.64876,                0.85815,                0.68903,                0.60874,                0.60849,                0.42347,                0.83383,                0.79182,                0.89836,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.75586,                0.59442,                0.85823,                0.65276,                0.60321,                0.59299,                0.41296,                0.84118,                0.79631,                  0.901,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.72502,                0.56607,                0.85325,                 0.6245,                0.60738,                0.59114,                0.40376,                0.84688,                 0.7981,                0.90007,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.74964,                0.57842,                0.85169,                 0.7419,                0.53507,                0.59195,                0.40879,                0.84833,                 0.7969,                0.89833,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                  0.741,                 0.5721,                0.85701,                0.66862,                0.60481,                 0.6075,                0.42031,                0.83023,                0.78548,                0.89545,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.73179,                0.57217,                0.84827,                0.71347,                0.59341,                0.60698,                0.41812,                0.82526,                0.78899,                0.89483,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.71415,                0.54628,                0.85039,                0.73039,                0.59931,                0.60863,                0.42521,                0.82088,                0.78497,                0.89463,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                 0.7244,                0.54965,                0.86171,                0.72371,                0.58595,                0.60417,                0.42105,                0.82184,                0.78941,                0.89354,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.71989,                 0.5437,                0.84973,                0.74185,                0.57711,                0.58878,                0.41382,                0.82316,                0.79515,                0.89367,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.70935,                0.54532,                0.84935,                0.72538,                0.57562,                0.59065,                 0.4138,                0.82415,                0.79893,                0.89342,             1.3273e-05,             1.3273e-05,             1.3273e-05
